,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
1132,5972334,K00191.02,Kepler-487 d,CONFIRMED,CANDIDATE,0.996,0,0,0,0,2.418406841,2.472e-06,-2.472e-06,132.505587,0.000864,-0.000864,0.018,0.439,-0.018,2.0744,0.0311,-0.0311,665.4,10.9,-10.9,2.25,0.23,-0.17,1226.0,,,535.84,167.62,-113.31,69.1,2.0,q1_q17_dr25_tce,5422.0,108.0,-108.0,4.484,0.063,-0.077,0.887,0.09,-0.067,19h41m08.94s,+41d13m19.0s,14.991,
1137,7543649,K01469.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,3.582076914,4.318e-06,-4.318e-06,355.515064,0.000864,-0.000864,0.966,0.011,-0.008,4.4228,0.0636,-0.0636,1534.4,17.7,-17.7,5.33,1.52,-0.7,1265.0,,,604.27,524.99,-215.04,138.4,1.0,q1_q17_dr25_tce,6109.0,192.0,-235.0,4.422,0.09,-0.195,0.993,0.283,-0.131,19h44m18.77s,+43d08m13.0s,15.193,
1139,11858748,K01471.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.780984316,2.891e-06,-2.891e-06,177.8249,0.00143,-0.00143,0.782,0.197,-0.516,2.173,0.102,-0.102,590.9,17.3,-17.3,2.33,0.65,-0.17,1397.0,,,899.03,744.43,-210.77,46.0,1.0,q1_q17_dr25_tce,5730.0,158.0,-158.0,4.545,0.036,-0.192,0.87,0.244,-0.065,19h15m03.16s,+50d10m27.2s,15.516,
1144,8081482,K01539.01,,FALSE POSITIVE,FALSE POSITIVE,0.488,0,1,0,0,2.819453322,1.83e-06,-1.83e-06,133.870141,0.00054,-0.00054,0.532,0.021,-0.027,4.4127,0.0411,-0.0411,71867.0,443.0,-443.0,29.8,8.46,-5.63,1357.0,,,803.4,669.34,-329.56,202.0,1.0,q1_q17_dr25_tce,5767.0,155.0,-155.0,4.33,0.18,-0.18,1.074,0.305,-0.203,18h58m39.36s,+43d59m06.1s,14.569,
1152,6616218,K01692.01,Kepler-314 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.960400011,4.39e-06,-4.39e-06,137.265171,0.000636,-0.000636,0.8,0.077,-0.553,2.8617,0.0441,-0.0441,828.3,7.3,-7.3,2.85,0.33,-0.12,890.0,,,148.26,50.61,-22.66,126.1,1.0,q1_q17_dr25_tce,5418.0,98.0,-108.0,4.534,0.024,-0.102,0.886,0.104,-0.037,19h38m41.78s,+42d04m32.1s,12.557,
1155,4770365,K01475.01,Kepler-1669 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.609321941,3.044e-06,-3.044e-06,178.94178,0.00158,-0.00158,0.016,0.463,-0.016,1.6067,0.0505,-0.0505,728.5,24.4,-24.4,1.57,0.07,-0.08,958.0,,,199.28,36.07,-33.23,35.3,1.0,q1_q17_dr25_tce,4224.0,84.0,-84.0,4.662,0.025,-0.02,0.603,0.027,-0.03,19h49m43.29s,+39d50m52.2s,15.937,
1158,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.913,0,0,0,0,4.887803076,4.66e-07,-4.66e-07,124.8130808,7.51e-05,-7.51e-05,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.1,-6.1,4.82,0.17,-0.18,800.0,,,96.67,14.91,-13.89,862.3,1.0,q1_q17_dr25_tce,4778.0,86.0,-95.0,4.591,0.015,-0.036,0.763,0.028,-0.028,19h50m50.24s,+48d04m51.1s,9.174,
1159,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,0.761,0,0,0,0,4.437962934,1.71e-07,-1.71e-07,171.0091259,2.88e-05,-2.88e-05,0.069,0.007,-0.05,4.69813,0.00079,-0.00079,16387.6,5.3,-5.3,18.05,2.92,-3.57,1338.0,,,757.65,339.17,-311.08,3535.6,1.0,q1_q17_dr25_tce,5953.0,105.0,-129.0,4.175,0.168,-0.112,1.415,0.229,-0.28,19h04m58.43s,+50d02m25.4s,13.438,
1161,5649956,K01540.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.207852845,6.24e-07,-6.24e-07,178.2142,0.000411,-0.000411,1.113,3.262,-0.148,3.5802,0.0328,-0.0328,49720.0,295.0,-295.0,38.59,8.19,-4.11,1539.0,,,1331.31,897.48,-391.37,205.9,1.0,q1_q17_dr25_tce,5601.0,186.0,-169.0,4.533,0.07,-0.13,0.797,0.169,-0.085,19h56m24.78s,+40d50m57.5s,15.559,
1162,4840513,K01541.01,,FALSE POSITIVE,FALSE POSITIVE,0.759,0,1,0,0,2.379282197,4.06e-07,-4.06e-07,133.651365,0.000139,-0.000139,0.003,0.067,-0.003,3.1729,0.00588,-0.00588,48434.0,106.0,-106.0,25.74,8.17,-2.93,1571.0,,,1442.19,1309.84,-463.54,538.0,1.0,q1_q17_dr25_tce,6392.0,153.0,-230.0,4.399,0.054,-0.216,1.162,0.369,-0.132,19h32m46.82s,+39d54m26.2s,15.189,
